"","year","dataset","link"
"64",2012,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_bewegung_raeumlich.csv"
"65",2012,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_bewegung_gesamt.csv"
"66",2013,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_insgesamt.csv"
"67",2013,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_alter.csv"
"68",2013,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_familienstand.csv"
"69",2013,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_geschlecht.csv"
"70",2013,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_staatsangehoerigkeit.csv"
"71",2013,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_bewegung_natuerlich.csv"
"72",2013,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_bewegung_raeumlich.csv"
"73",2013,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_bewegung_gesamt.csv"
"74",2013,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2013/bevoelkerungsstruktur_2013_haushaltsstruktur.csv"
"75",2014,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_insgesamt.csv"
"76",2014,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_alter.csv"
"77",2014,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_familienstand.csv"
"78",2014,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_geschlecht.csv"
"79",2014,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_staatsangehoerigkeit.csv"
"80",2014,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_bewegung_natuerlich.csv"
"81",2014,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_bewegung_raeumlich.csv"
"82",2014,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_bewegung_gesamt.csv"
"83",2014,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2014/bevoelkerungsstruktur_2014_haushaltsstruktur.csv"
"84",2015,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2015/bevoelkerungsstruktur_2015_insgesamt.csv"
"85",2015,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2015/bevoelkerungsstruktur_2015_alter.csv"
"86",2015,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2015/bevoelkerungsstruktur_2015_familienstand.csv"
"87",2015,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2015/bevoelkerungsstruktur_2015_geschlecht.csv"
"88",2015,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2015/bevoelkerungsstruktur_2015_staatsangehoerigkeit.csv"
